ano,codigoFuncao,funcao,codigoSubfuncao,subfuncao,codigoPrograma,programa,codigoAcao,acao,chave_serie,empenhado,liquidado,pago,taxa_liquidacao,taxa_pagamento,valor_a_liquidar,restos_a_pagar,variacao_pago_aa,zscore_pago,zscore_robusto_pago,flag_pago_maior_empenhado,flag_liquidado_maior_empenhado,flag_valor_negativo,flag_anomalia_zscore,flag_anomalia_robusto,flag_salto_anual,flag_anomalia,empenhado_real,liquidado_real,pago_real
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FP,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DO GAMA,1073-10FP,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FQ,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE CEILANDIA,1073-10FQ,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FQ,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE CEILANDIA,1073-10FQ,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2016,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FQ,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE CEILANDIA,1073-10FQ,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FT,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE POMBAL,1073-10FT,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FT,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE POMBAL,1073-10FT,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FV,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE QUIXADA,1073-10FV,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FW,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE SOBRAL,1073-10FW,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FW,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE SOBRAL,1073-10FW,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2016,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FW,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE SOBRAL,1073-10FW,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FY,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE ITACOATIARA,1073-10FY,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FY,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE ITACOATIARA,1073-10FY,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2016,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FY,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE ITACOATIARA,1073-10FY,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FZ,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE PARINTINS,1073-10FZ,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FZ,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE PARINTINS,1073-10FZ,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2016,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FZ,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE PARINTINS,1073-10FZ,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10G0,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE PARAOPEBA,1073-10G0,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10G0,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE PARAOPEBA,1073-10G0,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2016,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10G0,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE PARAOPEBA,1073-10G0,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10G1,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE RIO PARANAIBA,1073-10G1,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10G1,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE RIO PARANAIBA,1073-10G1,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2016,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10G1,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE RIO PARANAIBA,1073-10G1,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2017,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10G1,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE RIO PARANAIBA,1073-10G1,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2018,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10G1,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE RIO PARANAIBA,1073-10G1,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10G2,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DO LITORAL NORTE EM MAMANGUAPE,1073-10G2,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10G2,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DO LITORAL NORTE EM MAMANGUAPE,1073-10G2,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2016,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10G2,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DO LITORAL NORTE EM MAMANGUAPE,1073-10G2,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2017,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10G2,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DO LITORAL NORTE EM MAMANGUAPE,1073-10G2,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2018,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10G2,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DO LITORAL NORTE EM MAMANGUAPE,1073-10G2,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2019,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10G2,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DO LITORAL NORTE EM MAMANGUAPE,1073-10G2,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10GZ,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE DIVINOPOLIS,1073-10GZ,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10GZ,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE DIVINOPOLIS,1073-10GZ,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2016,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10GZ,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE DIVINOPOLIS,1073-10GZ,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10H3,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE SAO BERNARDO DO CAMPO,1073-10H3,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10H3,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE SAO BERNARDO DO CAMPO,1073-10H3,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10H4,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE SAO JOSE DOS CAMPOS,1073-10H4,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10H4,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE SAO JOSE DOS CAMPOS,1073-10H4,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
