conjunto,entidade,ano,pago_real,score_combinado,n_sinais,sinais,desvio_padronizado,score_anomalia_2_3,sinal_flag,sinal_outlier
B,Fundação Universidade Federal do Amapá,2018,254588645.45930874,0.4961858529819695,2,outlier_multivariado(score=0.99),,0.992371705963939,0.0,0.992371705963939
B,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá",2025,154837290.89,0.4960136674259681,2,outlier_multivariado(score=0.99),,0.9920273348519362,0.0,0.9920273348519362
B,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá",2021,103931389.99052177,0.49544419134396356,2,outlier_multivariado(score=0.99),,0.9908883826879271,0.0,0.9908883826879271
B,Universidade Federal do Delta do Parnaíba,2025,110440482.66,0.4947988904299584,2,outlier_multivariado(score=0.99),,0.9895977808599168,0.0,0.9895977808599168
B,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá",2020,114256885.89762363,0.49430523917995445,2,outlier_multivariado(score=0.99),,0.9886104783599089,0.0,0.9886104783599089
B,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",2016,1069590641.8852382,0.49373576309794986,2,outlier_multivariado(score=0.99),,0.9874715261958997,0.0,0.9874715261958997
B,"Instituto Federal de Educação, Ciência e Tecnologia de Rondônia",2023,276563389.23259497,0.4920273348519362,2,outlier_multivariado(score=0.98),,0.9840546697038725,0.0,0.9840546697038725
B,Universidade Federal do Norte do Tocantins,2022,4820522.803469833,0.4920249653259362,2,outlier_multivariado(score=0.98),,0.9840499306518724,0.0,0.9840499306518724
B,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá",2016,96877768.32597451,0.49145785876993164,2,outlier_multivariado(score=0.98),,0.9829157175398633,0.0,0.9829157175398633
B,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",2017,1212060947.7798843,0.49145785876993164,2,outlier_multivariado(score=0.98),,0.9829157175398633,0.0,0.9829157175398633
A,IMPLANTACAO DA UNIVERSIDADE FEDERAL DA FRONTEIRA SUL - UFFS,2015,14087650.055255832,0.49145299145299143,2,outlier_multivariado(score=0.98),,0.9829059829059829,0.0,0.9829059829059829
B,"Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais",2016,313424239.5672309,0.4908883826879271,2,outlier_multivariado(score=0.98),,0.9817767653758542,0.0,0.9817767653758542
B,Fundação Universidade Federal do Amapá,2023,250454203.9219551,0.4895977808599168,2,outlier_multivariado(score=0.98),,0.9791955617198336,0.0,0.9791955617198336
A,ATIVOS CIVIS DA UNIAO,2017,32869720182.082214,0.48931623931623935,2,outlier_multivariado(score=0.98),,0.9786324786324787,0.0,0.9786324786324787
B,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",2015,118602883.48322771,0.4886104783599089,2,outlier_multivariado(score=0.98),,0.9772209567198178,0.0,0.9772209567198178
B,Universidade Federal do Estado do Rio de Janeiro,2024,633092111.5160644,0.48613037447988905,2,outlier_multivariado(score=0.97),,0.9722607489597781,0.0,0.9722607489597781
A,ATIVOS CIVIS DA UNIAO,2015,29250360278.550365,0.4807692307692308,2,outlier_multivariado(score=0.96),,0.9615384615384616,0.0,0.9615384615384616
A,ATIVOS CIVIS DA UNIAO,2016,29937844773.998917,0.4807692307692307,2,outlier_multivariado(score=0.96),,0.9615384615384615,0.0,0.9615384615384615
B,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo",2025,976626192.64,0.4806378132118451,2,outlier_multivariado(score=0.96),,0.9612756264236902,0.0,0.9612756264236902
B,Fundação Universidade de Brasília,2016,2537361181.717964,0.48058252427184467,2,outlier_multivariado(score=0.96),,0.9611650485436893,0.0,0.9611650485436893
B,Universidade Federal de Catalão,2024,131471407.12881191,0.4802357836338419,2,outlier_multivariado(score=0.96),,0.9604715672676838,0.0,0.9604715672676838
