ano,chave_serie,empenhado,liquidado,pago,empenhado_real,liquidado_real,pago_real,codigoFuncao,funcao,codigoSubfuncao,subfuncao,codigoPrograma,programa,codigoAcao,acao,taxa_liquidacao,taxa_pagamento,valor_a_liquidar,restos_a_pagar,flag_pago_maior_empenhado,flag_liquidado_maior_empenhado,flag_valor_negativo,serie_curta,ano_parcial,variacao_pago_aa,zscore_pago,zscore_robusto_pago,flag_anomalia_zscore,flag_anomalia_robusto,flag_salto_anual,flag_anomalia
2014,1073-11D0,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11D0,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DE VIÇOSA (UFV),,,0.0,0.0,False,False,False,False,False,,,,False,False,False,False
2014,1073-11DH,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,11DH,REUNI - READEQUACAO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DO MATO GROSSO DO SUL (UFMS),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-11DK,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11DK,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE (UFCSPA),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-11DO,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11DO,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI (UFSJ),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-11E0,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11E0,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DA GRANDE DOURADOS (UFGD),,,0.0,0.0,False,False,False,False,False,,,,False,False,False,False
2014,1073-11EC,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11EC,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA (UFRB),,,0.0,0.0,False,False,False,False,False,,,,False,False,False,False
2014,1073-11EM,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11EM,EXPANSÃO DO ENSINO SUPERIOR - CAMPUS DE ANGICOS,,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-11ER,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11ER,EXPANSÃO DO ENSINO SUPERIOR - CAMPUS DE SETE LAGOAS,,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-11EU,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11EU,EXPANSÃO DO ENSINO SUPERIOR - CAMPUS DE SUMÉ,,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-11G0,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11G0,IMPLANTACAO DA UNIVERSIDADE FEDERAL DO OESTE DO PARA - UFOPA,,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
